#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Nov 15 14:31:10 EST 2021,4,4,A6RequiredClassesSuite,ClassRegistryProvided+ MainClassProvided+ , , ,A6ExtraCondChecker BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadLispChecker LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker QuoteChecker TestLispFileProvided TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,
1,Mon Nov 15 14:31:11 EST 2021,21,17,A6BasicOperationSuite,ClassRegistryProvided CombinationChecker+ CondChecker+ EvalChecker+ ListChecker+ ListChecker2+ LoadLispChecker+ MainClassProvided QuoteChecker+ TestLispFileProvided+ , ,A6ExtraCondChecker+ ,BasicAndChecker BasicLetTest BasicOrChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,
2,Mon Nov 15 14:31:27 EST 2021,25,4,LogicalSuite,BasicAndChecker+ ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker+ QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker+ VariableArgumentAndChecker+ VariableArgumentOrChecker+ ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker ,
3,Mon Nov 15 14:31:31 EST 2021,25,0,BasicFunctionExpressionSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker PlusGeneratorChecker+ TimesGeneratorChecker+ VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 ,
4,Mon Nov 15 14:31:34 EST 2021,25,0,LispSetqSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker LispSetqChecker+ LispSetqChecker2+ LoadSetqChecker+ LoadSetqChecker2+ LoadSetqChecker3+ PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 ,
5,Mon Nov 15 14:31:37 EST 2021,25,0,FuncallSocialDistanceSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker DerivedSafeChecker+ LispSetqChecker LispSetqChecker2 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 ,
6,Mon Nov 15 14:31:40 EST 2021,25,0,LispLambdaSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker DerivedSafeChecker LispLambdaChecker+ LispLambdaChecker2+ LispLambdaChecker3+ LispSetqChecker LispSetqChecker2 LoadLambdaChecker+ LoadLambdaChecker2+ LoadLambdaChecker3+ LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,
7,Mon Nov 15 14:31:43 EST 2021,34,9,RelationalSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker GreaterChecker+ GreaterOrEqualChecker+ LessChecker+ LessOrEqualChecker+ ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker DerivedSafeChecker LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,
8,Mon Nov 15 14:31:46 EST 2021,34,0,BasicCurrySuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker CurryOnceChecker+ CurryTwiceChecker+ CurryTwoArgsChecker+ DerivedSafeChecker LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,
9,Mon Nov 15 14:31:49 EST 2021,34,0,A6LetSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicLetTest+ BasicOrChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker LetLambdaAndFunctionTest+ LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,
