Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sun Nov 07 12:58:47 EST 2021,StringFormats.java,1636307927165,158852,0,(F)4(I)1(D)2(F)1(D)1,0.1111111111111111,33.33333333333333,0.0,55.55555555555556,0.0,0.0,0.056962025316455694,0.0,0.0189873417721519,0.03164556962025317,0.0,0.0,0.006329113924050633,1.0,[]
,/modelData/A0UserStudy2010.arff,Sun Nov 07 12:58:47 EST 2021,StringFormats.java, 1636307927165
2,,Sun Nov 07 13:01:26 EST 2021,StringFormats.java,1636308086132,33245,0,(D)1(F)1(I)13,0.8666666666666667,6.666666666666667,0.0,6.666666666666667,0.0,0.0,0.45454545454545453,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.3939393939393939,0.0,[]
3,,Sun Nov 07 13:01:59 EST 2021,StringFormats.java,1636308119442,7425,7425,(I)2(D)1,0.6666666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,[]
4,,Sun Nov 07 13:02:06 EST 2021,StringFormats.java,1636308126867,32000,0,(F)1(D)1(F)1(I)4(R)2(I)4,0.6153846153846154,7.6923076923076925,0.0,15.384615384615385,0.0,0.0,0.40625,0.0,0.03125,0.0625,0.0,0.0625,0.25,0.0,[]
5,,Sun Nov 07 13:02:38 EST 2021,StringFormats.java,1636308158977,4389,4389,(R)4(D)1,0.0,20.0,0.0,0.0,0.0,0.0,1.25,0.0,0.25,0.0,0.0,1.0,0.0,0.0,[]
6,,Sun Nov 07 13:02:46 EST 2021,StringFormats.java,1636308166431,36356,0,(F)5,0.0,0.0,0.0,100.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,[]
7,,Sun Nov 07 13:03:22 EST 2021,StringFormats.java,1636308202940,11149,0,(F)1(I)4(R)4(I)14,0.782608695652174,0.0,0.0,4.3478260869565215,0.0,0.0,2.090909090909091,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,1.6363636363636365,0.0,[]
8,,Sun Nov 07 13:03:34 EST 2021,StringFormats.java,1636308214657,18240,0,(I)12,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,[]
9,,Sun Nov 07 13:03:52 EST 2021,StringFormats.java,1636308232898,36251,0,(D)1(F)1(D)1(F)4,0.0,28.57142857142857,0.0,71.42857142857143,0.0,0.0,0.19444444444444445,0.0,0.05555555555555555,0.1388888888888889,0.0,0.0,0.0,0.0,[]
10,,Sun Nov 07 13:04:41 EST 2021,StringFormats.java,1636308281836,11439,0,(F)1(I)7,0.875,0.0,0.0,12.5,0.0,0.0,0.7272727272727273,0.0,0.0,0.09090909090909091,0.0,0.0,0.6363636363636364,0.0,[]
11,,Sun Nov 07 13:04:53 EST 2021,StringFormats.java,1636308293276,1646,1646,(I)10,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,[]
12,,Sun Nov 07 13:04:54 EST 2021,StringFormats.java,1636308294922,12485,0,(F)2(D)1(F)1,0.0,25.0,0.0,75.0,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,[]
13,,Sun Nov 07 13:05:07 EST 2021,LoadEvaluator.java,1636308307407,209787,0,(F)5(I)5,0.5,0.0,0.0,50.0,0.0,0.0,0.04784688995215311,0.0,0.0,0.023923444976076555,0.0,0.0,0.023923444976076555,3.0,[]
14,,Sun Nov 07 13:08:37 EST 2021,LoadEvaluator.java,1636308517194,134997,0,(F)6(I)2,0.25,0.0,0.0,75.0,0.0,0.0,0.05970149253731343,0.0,0.0,0.04477611940298507,0.0,0.0,0.014925373134328358,3.0,[]
15,,Sun Nov 07 13:10:52 EST 2021,LoadEvaluator.java,1636308652602,4932,4932,(R)1(I)6,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.25,1.5,0.0,[]
16,,Sun Nov 07 13:10:57 EST 2021,LoadEvaluator.java,1636308657534,60166,0,(D)1(F)2(D)3(F)2,0.0,50.0,0.0,50.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,[]
17,,Sun Nov 07 13:11:57 EST 2021,LoadEvaluator.java,1636308717700,31063,0,(I)1(F)2(I)2(R)1(I)1(R)1(I)1(R)1(I)4(R)1(I)1,0.625,0.0,0.0,12.5,0.0,0.0,0.5161290322580645,0.0,0.0,0.06451612903225806,0.0,0.12903225806451613,0.3225806451612903,2.0,[1636308734272 2 how to remove " characters from a string java - Google Search https://www.google.com/search?q=how+to+remove+%22+characters+from+a+string+java&oq=how+to+remove+%22+characters+from+a+string+java&aqs=chrome..69i57.5675j0j7&sourceid=chrome&ie=UTF-8, 1636308735593 1 Java Remove Character from String - JournalDev https://www.journaldev.com/18361/java-remove-character-string]
18,,Sun Nov 07 13:12:28 EST 2021,LoadEvaluator.java,1636308748774,16270,0,(I)9(R)1(I)3(R)2,0.8,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.1875,0.75,0.0,[]
19,,Sun Nov 07 13:12:45 EST 2021,LoadEvaluator.java,1636308765044,14468,0,(I)10,1.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,[]
20,,Sun Nov 07 13:12:59 EST 2021,LoadEvaluator.java,1636308779514,23888,0,(F)4(D)1(N)1,0.0,16.666666666666664,16.666666666666664,66.66666666666666,0.0,0.0,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.0,0.0,0.0,0.0,[]
21,,Sun Nov 07 13:13:26 EST 2021,LoadEvaluator.java,1636308806807,34837,0,(D)2(I)4(R)1(I)6,0.7692307692307693,15.384615384615385,0.0,0.0,0.0,0.0,0.38235294117647056,0.0,0.058823529411764705,0.0,0.0,0.029411764705882353,0.29411764705882354,0.0,[]
22,,Sun Nov 07 13:14:03 EST 2021,LoadEvaluator.java,1636308843271,26036,0,(R)3(F)2(I)2(R)1(I)2,0.4,0.0,0.0,20.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,2.0,[1636308855572 3 how to remove " characters from a string java - Google Search https://www.google.com/search?q=how+to+remove+%22+characters+from+a+string+java&oq=how+to+remove+%22+characters+from+a+string+java&aqs=chrome..69i57.5675j0j7&sourceid=chrome&ie=UTF-8, 1636308860581 1 Remove characters from a String in Java - Stack Overflow https://stackoverflow.com/questions/5695623/remove-characters-from-a-string-in-java/5695638]
23,,Sun Nov 07 13:14:29 EST 2021,LoadEvaluator.java,1636308869463,1696,1696,(I)4(R)1(I)2(R)1(I)5(R)1(I)3(R)2(I)1(R)1,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,[]
24,,Sun Nov 07 13:14:30 EST 2021,LoadEvaluator.java,1636308870835,43443,0,(I)1(R)1(I)1(R)5(I)4(R)1(I)3,0.5625,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.0,0.0,0.0,0.0,0.16279069767441862,0.20930232558139536,0.0,[]
25,,Sun Nov 07 13:15:14 EST 2021,LoadEvaluator.java,1636308914278,6794,6794,(I)13(R)4(I)6,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.6666666666666666,3.1666666666666665,0.0,[]
26,,Sun Nov 07 13:15:21 EST 2021,LoadEvaluator.java,1636308921072,5356,5356,(I)10(R)6(I)7,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,1.2,3.4,0.0,[]
27,,Sun Nov 07 13:15:26 EST 2021,LoadEvaluator.java,1636308926436,8229,8229,(I)1(R)5(I)2(R)4(I)1(R)7,0.2,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.0,0.5,0.0,[]
